key,n_node,n_edge,total_length,mean_edge_len,len_cv,deg2_count,deg4_count,degree_entropy,orient_entropy,anisotropy,radius_gyration,moment_total,clustering_coef,fiedler_value,lambda_max,spectral_gap_ratio,aspl_giant,boundary_frac,fractal_dim_box,rigidity_index,redundancy_ratio,max_k_core,kcore_frac,triangle_count,triangle_ratio,quad_count,quad_ratio,avg_shortest_dy,straightness,mesh_median_area,mesh_cv_area,mesh_max_area_ratio,edge_betweenness_max,edge_betweenness_gini,largest_pore_ratio,top_area_sum_ratio,top_convexity_min,top_convexity_mean,top_circularity_min,big_pore_count,total_pore_count,total_pore_ratio,center_pore_ratio,edge_pore_ratio,pore_area_cv,pore_area_skew,pore_area_kurtosis,pore_area_max_over_mean,pore_large_area_frac,pore_count_large_frac,pore_density,pore_spatial_cv,contact_thick,contact_canvas_size,contact_nodes,contact_edges,contact_edge_pixel_union_count,contact_edge_pixel_sum,contact_raw_overlap_pixel_count,contact_overlap_pixel_count,contact_overlap_pair_count,contact_overlap_pairs_per_edge,contact_edges_with_contact_count,contact_edges_with_contact_ratio,contact_overlap_pixel_ratio_union,contact_raw_overlap_pixel_ratio_union,contact_overlap_pixel_ratio_canvas,contact_overlap_length_px_approx,contact_overlap_length_ratio_centerline,contact_centerline_length_px,contact_overlap_pair_size_sum,contact_overlap_pair_size_mean,contact_overlap_pair_size_median,contact_overlap_pair_size_max,contact_overlap_pair_size_std,contact_overlap_pair_size_q75,contact_overlap_pair_size_q90,contact_overlap_pair_size_q95,contact_overlap_cc_count,contact_overlap_cc_size_sum,contact_overlap_cc_size_mean,contact_overlap_cc_size_median,contact_overlap_cc_size_max,contact_overlap_cc_size_std,contact_overlap_cc_size_q75,contact_overlap_cc_size_q90,contact_overlap_cc_size_q95,contact_edge_contact_degree_mean,contact_edge_contact_degree_median,contact_edge_contact_degree_max,contact_edge_contact_degree_std,contact_edge_contact_degree_q75,contact_edge_contact_degree_q90,contact_edge_contact_degree_q95,max_load
3_-0.01_-0.4_-0.05_-0.42_0.31_-0.11_0.32_-0.2_0.46_0.13,320,464,25.6628,0.0553077,0.797813,184,132,1.06507,3.67576,2.22045e-16,0.456042,369.732,0.141369,0.0123961,9.35944,0.00132445,13.6632,0.0517241,0.894292,-173,0.3125,2,1,68,0.146552,25,0.0538793,1.33518,1.04311,247.5,1.92061,0.0596943,0.114097,0.463839,0.0596943,0.178928,0.792001,0.792045,0.402344,21,112,0.791318,0.645908,0.14541,1.92061,2.35346,5.60527,8.44889,0.877432,0.205357,0.000106812,0.074489,9,1024,320,464,196694,305686,61838,21034,496,1.06897,324,0.698276,0.106938,0.314387,0.0200596,2337.11,0.115182,20290.6,50132,101.073,94,517,105.833,116.25,162,164,76,21034,276.763,74,717,283.457,620,715.5,716,2.13793,2,7,2.02526,4,5,6,81.0936
3_-0.01_-0.5_-0.12_-0.31_-0.45_-0.1_0.01_-0.23_0.42_0.14,392,608,31.2347,0.0513729,1.11614,184,204,1.07004,3.39208,1.11022e-16,0.448926,482.627,0.188533,0.0137099,9.37241,0.00146279,11.7873,0.0394737,0.877812,-173,0.356908,2,1,92,0.151316,21,0.0345395,1.43388,1.07541,350.5,1.50615,0.0519066,0.111438,0.563533,0.0519066,0.155714,0.800956,0.800994,0.397555,21,80,0.764846,0.510445,0.254401,1.50615,1.60773,1.68555,5.42923,0.617436,0.15,7.62939e-05,0.181513,9,1024,392,608,210158,367816,63020,39180,3712,6.10526,588,0.967105,0.186431,0.29987,0.037365,4353.33,0.183269,23753.9,247667,66.7206,57,560,66.4655,83,123,180,52,39180,753.462,1,5890,1584.7,797,1571.8,5869.6,12.2105,8,39,10.6781,13,29,35,86.7903
3_-0.01_0.05_0.11_-0.11_0.44_0.28_-0.07_-0.13_-0.15_0.01,304,432,25.6858,0.0594579,0.768861,184,116,1.05102,3.90759,1.11022e-16,0.412587,319.967,0.499687,0.00821959,9.18613,0.000894782,15.2645,0.0555556,0.88706,-173,0.298611,2,1,108,0.25,12,0.0277778,1.33449,1.22806,184,2.40646,0.0704508,0.153154,0.613077,0.0704508,0.211347,0.713894,0.71392,0.161648,9,89,0.752275,0.633989,0.118285,2.40646,2.52157,4.60418,8.33488,0.815735,0.101124,8.4877e-05,0.089533,9,1024,304,432,247080,346208,65594,4380,544,1.25926,276,0.638889,0.0177271,0.265477,0.00417709,486.667,0.0203614,23901.5,25488,46.8529,38,120,31.4828,72,100,103,36,4380,121.667,175,178,77.1045,177,177.5,178,2.51852,3,6,2.25455,5,5,6,67.4048
3_-0.01_0.06_-0.3_-0.01_-0.48_-0.42_0.31_-0.13_0.41_0.2,516,856,29.5044,0.0344678,1.60681,184,328,1.00035,3.886,1.11022e-15,0.408111,609.202,0.191214,0.0116067,9.59822,0.00120926,12.6684,0.0280374,0.910316,-173,0.398364,2,1,124,0.14486,87,0.101636,1.28927,1.00725,5561,1.31223,0.0597811,0.118306,0.601503,0.0597811,0.179128,0.798508,0.798706,0.28233,21,64,0.763895,0.625113,0.138783,1.31223,1.75016,2.71031,5.00853,0.479712,0.125,6.10352e-05,0.0750534,9,1024,516,856,224968,388842,57624,25936,5259,6.14369,776,0.906542,0.115288,0.256143,0.0247345,2881.78,0.123267,23378.4,287806,54.7264,44,385,45.5078,82,110,131,16,25936,1621,998.5,4387,1637.82,1848.5,4386,4386.25,12.2874,12,32,8.30967,19,21,27,72.1754
3_-0.01_0.0_-0.03_-0.11_0.06_0.11_0.09_0.38_-0.02_-0.01,220,264,19.1173,0.0724142,0.544021,184,32,0.72529,3.31701,2.22045e-16,0.422665,202.284,0,0.0119278,9.18123,0.00129915,15.6037,0.0909091,0.794778,-173,0.170455,2,1,0,0,18,0.0681818,1.40593,1.30987,14301,0.983333,0.0632906,0.0875257,0.186545,0.0632906,0.189767,0.591887,0.592066,0.20273,21,32,0.789953,0.635445,0.154509,0.983333,0.901802,-1.08717,2.56382,0.718538,0.28125,3.05176e-05,0.0508613,9,1024,220,264,204390,256910,39104,3144,96,0.363636,144,0.545455,0.0153824,0.191321,0.00299835,349.333,0.0193189,18082.5,3604,37.5417,7.5,134,54.0729,42,131,133,24,3144,131,130.5,134,1.58114,132.25,133,133.85,0.727273,1,3,0.862439,1,1,3,45.3032
3_-0.01_0.21_-0.18_0.36_-0.18_0.38_0.33_0.06_-0.06_0.35,268,360,25.3372,0.0703811,0.57292,184,80,0.983665,3.73321,0,0.420199,280.779,0.291045,0.0161783,9.36147,0.00172817,10.7125,0.111111,1.0221,-173,0.258333,2,1,36,0.1,0,0,1.06551,1.06551,98,1.31738,0.0351915,0.150193,0.606575,0.0351915,0.105575,0.831098,0.831098,0.2589,21,78,0.767005,0.5355,0.231505,1.31738,0.965132,-0.515407,3.57878,0.550566,0.153846,7.43866e-05,0.400867,9,1024,268,360,244381,362640,90940,22680,207,0.575,243,0.675,0.0928059,0.372124,0.0216293,2520,0.0981648,25671.1,27549,133.087,68,436,154.596,234,421,427,81,22680,280,84,564,241.683,548,564,564,1.15,1,3,1.06184,2,3,3,81.3046
3_-0.02_-0.2_-0.12_-0.13_0.14_-0.01_0.12_0.48_-0.01_0.17,244,312,22.2806,0.0714122,0.661425,184,56,0.891609,3.82229,2.22045e-15,0.420479,234.393,0.12256,0.00985157,9.18013,0.00107314,15.6153,0.0769231,0.821547,-173,0.221154,2,1,24,0.0769231,12,0.0384615,1.4092,1.24341,1274,1.56645,0.0627394,0.162554,0.4928,0.0627394,0.188184,0.585866,0.586278,0.162058,9,56,0.76455,0.5805,0.184051,1.56645,1.56115,0.805373,4.59539,0.711191,0.160714,5.34058e-05,0.136102,9,1024,244,312,226321,286750,42397,3708,96,0.307692,120,0.384615,0.0163838,0.187331,0.00353622,412,0.0206648,19937.3,9282,96.6875,109,153,47.9593,119.75,150,153,24,3708,154.5,154.5,157,1.80278,155.5,157,157,0.615385,0,4,1.07692,1,1,4,45.3949
3_-0.02_0.08_-0.43_-0.06_-0.15_0.25_-0.45_0.37_-0.39_-0.14,532,888,27.6358,0.0311214,1.29589,184,344,0.989548,2.92062,7.21645e-16,0.389211,618.161,0.290548,0.00718489,9.38256,0.00076577,14.7339,0.027027,0.872054,-173,0.402027,2,1,140,0.157658,105,0.118243,1.26017,1.1526,786.5,2.38303,0.0674763,0.141446,0.684158,0.0674763,0.202233,0.658292,0.658315,0.18511,9,100,0.760726,0.633757,0.126969,2.38303,2.70838,5.68584,8.86998,0.758611,0.09,9.53674e-05,0.0749605,9,1024,532,888,237278,419488,61746,21988,22728,25.5946,696,0.783784,0.0926677,0.260226,0.0209694,2443.11,0.0953328,25627.2,1.63513e+06,71.9435,73,494,39.2151,89,101,108,24,21988,916.167,862.5,2524,880.524,1246.5,2522.7,2523,51.1892,24,102,43.6572,97,97,100,66.7085
3_-0.02_0.42_-0.1_-0.26_0.08_-0.12_0.49_0.16_0.46_-0.02,456,736,31.9837,0.0434561,0.838772,184,268,1.03893,3.6736,7.88258e-15,0.401508,518.587,0.194236,0.00931604,9.3562,0.000995707,15.0969,0.0326087,0.970092,-173,0.381793,2,1,128,0.173913,47,0.0638587,1.27885,1.06967,135,3.16116,0.0535717,0.111248,0.544482,0.0535717,0.160708,0.784552,0.784623,0.301381,21,244,0.708245,0.515963,0.192283,3.16116,4.27453,18.3879,18.4562,0.921877,0.131148,0.000232697,0.115031,9,1024,456,736,285882,426600,72278,8868,1016,1.38043,440,0.597826,0.0310198,0.252825,0.00845718,985.333,0.0363013,27143.2,66212,65.1693,49.5,168,46.2453,106,120,122,88,8868,100.773,54.5,248,89.0561,238,245,246,2.76087,1.5,16,3.40514,5,7,9,91.5098
3_-0.03_0.42_-0.17_0.25_0.08_-0.26_-0.09_-0.28_-0.27_-0.32,220,264,22.5135,0.0852786,0.788765,184,32,0.72529,3.48802,1.11022e-16,0.439946,207.41,0,0.0129757,9.38673,0.00138235,13.1407,0.0909091,0.800006,-173,0.170455,2,1,0,0,24,0.0909091,1.59904,1.31789,2790.5,1.36026,0.0525541,0.198514,0.441061,0.0525541,0.152233,0.532491,0.58889,0.162042,21,72,0.762571,0.519356,0.243216,1.36026,1.52471,1.13323,4.96202,0.616092,0.166667,6.86646e-05,0.150718,9,1024,220,264,219394,264312,31618,3180,108,0.409091,144,0.545455,0.0144945,0.144115,0.00303268,353.333,0.0187925,18801.8,3570,33.0556,46.5,56,19.7249,49,49,54,36,3180,88.3333,89,95,3.65908,91,93.5,94,0.818182,1,2,0.833196,2,2,2,47.1416
